Time,enc_1,enc_2,Trails,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2025-02-04 11:02:40.005,14.24238,39.59704,0,0.1515267,0.04030152,,,,,,,,,
2025-02-04 11:02:40.010,22.90699,39.32621,0,0.16,-4.73,,,,,,,,,
2025-02-04 11:02:40.028,22.90699,39.32621,0,-0.05719564,-4.17823,,,,,,,,,
2025-02-04 11:02:40.037,22.90699,39.32621,0,-0.2514887,-3.684643,,,,,,,,,
2025-02-04 11:02:40.044,22.90699,39.32621,0,-0.4163159,-3.265912,,,,,,,,,
2025-02-04 11:02:40.049,22.90699,39.32621,0,-0.4759541,-3.114405,,,,,,,,,
2025-02-04 11:02:40.053,22.90699,39.32621,0,-0.5097681,-3.028503,,,,,,,,,
2025-02-04 11:02:40.057,22.90699,39.32621,0,-0.5363323,-2.961019,,,,,,,,,
2025-02-04 11:02:40.065,22.90699,39.32621,0,-0.5632239,-2.892703,,,,,,,,,
2025-02-04 11:02:40.069,22.90699,39.32621,0,-0.6195543,-2.7496,,,,,,,,,
2025-02-04 11:02:40.072,22.90699,39.32621,0,-0.6444671,-2.686311,,,,,,,,,
2025-02-04 11:02:40.079,22.90699,39.32621,0,-0.6672457,-2.628443,,,,,,,,,
2025-02-04 11:02:40.084,22.90699,39.32621,0,-0.7054691,-2.531339,,,,,,,,,
2025-02-04 11:02:40.097,22.90699,39.32621,0,-0.7385265,-2.44736,,,,,,,,,
2025-02-04 11:02:40.100,22.90699,39.32621,0,-0.8084473,-2.269731,,,,,,,,,
2025-02-04 11:02:40.106,22.90699,39.32621,0,-0.83222,-2.209338,,,,,,,,,
2025-02-04 11:02:40.113,22.90699,39.32621,0,-0.8591861,-2.140833,,,,,,,,,
2025-02-04 11:02:40.118,22.90699,39.32621,0,-0.8943024,-2.051623,,,,,,,,,
2025-02-04 11:02:40.122,22.90699,39.32621,0,-0.9188577,-1.989242,,,,,,,,,
2025-02-04 11:02:40.127,22.90699,39.32621,0,-0.941696,-1.931222,,,,,,,,,
2025-02-04 11:02:40.133,22.90699,39.32621,0,-0.9719086,-1.854469,,,,,,,,,
2025-02-04 11:02:40.138,22.90699,39.32621,0,-0.997523,-1.789398,,,,,,,,,
2025-02-04 11:02:40.143,22.90699,39.32621,0,-1.016523,-1.74113,,,,,,,,,
2025-02-04 11:02:40.147,22.90699,39.32621,0,-1.038196,-1.686071,,,,,,,,,
2025-02-04 11:02:40.154,22.90699,39.32621,0,-1.060504,-1.629399,,,,,,,,,
2025-02-04 11:02:40.161,22.90699,39.32621,0,-1.084711,-1.567903,,,,,,,,,
2025-02-04 11:02:40.165,22.90699,39.32621,0,-1.111558,-1.499701,,,,,,,,,
2025-02-04 11:02:40.170,22.90699,39.32621,0,-1.131184,-1.449843,,,,,,,,,
2025-02-04 11:02:40.175,22.90699,39.32621,0,-1.150282,-1.401325,,,,,,,,,
2025-02-04 11:02:40.180,22.90699,39.32621,0,-1.167865,-1.356657,,,,,,,,,
2025-02-04 11:02:40.185,22.90699,39.32621,0,-1.185946,-1.310724,,,,,,,,,
2025-02-04 11:02:40.189,22.90699,39.32621,0,-1.202913,-1.267621,,,,,,,,,
2025-02-04 11:02:40.195,22.90699,39.32621,0,-1.217359,-1.230922,,,,,,,,,
2025-02-04 11:02:40.200,22.90699,39.32621,0,-1.235628,-1.18451,,,,,,,,,
2025-02-04 11:02:40.205,22.90699,39.32621,0,-1.253607,-1.138834,,,,,,,,,
2025-02-04 11:02:40.211,22.90699,39.32621,0,-1.270983,-1.094694,,,,,,,,,
2025-02-04 11:02:40.217,22.90699,39.32621,0,-1.290809,-1.044326,,,,,,,,,
2025-02-04 11:02:40.222,22.90699,39.32621,0,-1.307945,-1.000794,,,,,,,,,
2025-02-04 11:02:40.229,22.90699,39.32621,0,-1.323177,-0.9620982,,,,,,,,,
2025-02-04 11:02:40.234,22.90699,39.32621,0,-1.343776,-0.9097678,,,,,,,,,
2025-02-04 11:02:40.239,22.90699,39.32621,0,-1.356407,-0.8776786,,,,,,,,,
2025-02-04 11:02:40.245,22.90699,39.32621,0,-1.369599,-0.8441664,,,,,,,,,
2025-02-04 11:02:40.251,22.90699,39.32621,0,-1.386331,-0.8016588,,,,,,,,,
2025-02-04 11:02:40.257,22.90699,39.32621,0,-1.401013,-0.7643608,,,,,,,,,
2025-02-04 11:02:40.263,22.90699,39.32621,0,-1.414652,-0.7297137,,,,,,,,,
2025-02-04 11:02:40.269,22.90699,39.32621,0,-1.430634,-0.6891115,,,,,,,,,
2025-02-04 11:02:40.277,22.90699,39.32621,0,-1.444851,-0.6529939,,,,,,,,,
2025-02-04 11:02:40.284,22.90699,39.32621,0,-1.464104,-0.6040838,,,,,,,,,
2025-02-04 11:02:40.288,22.90699,39.32621,0,-1.476706,-0.5720692,,,,,,,,,
2025-02-04 11:02:40.294,22.90699,39.32621,0,-1.487725,-0.5440743,,,,,,,,,
2025-02-04 11:02:40.299,22.90699,39.32621,0,-1.50123,-0.5097661,,,,,,,,,
2025-02-04 11:02:40.303,22.90699,39.32621,0,-1.510013,-0.4874555,,,,,,,,,
2025-02-04 11:02:40.311,22.90699,39.32621,0,-1.517916,-0.4673772,,,,,,,,,
2025-02-04 11:02:40.316,22.90699,39.32621,0,-1.53084,-0.4345464,,,,,,,,,
2025-02-04 11:02:40.320,22.90699,39.32621,0,-1.541291,-0.4079945,,,,,,,,,
2025-02-04 11:02:40.324,22.90699,39.32621,0,-1.548767,-0.3890021,,,,,,,,,
2025-02-04 11:02:40.331,22.90699,39.32621,0,-1.555837,-0.371042,,,,,,,,,
2025-02-04 11:02:40.336,22.90699,39.32621,0,-1.566959,-0.3427869,,,,,,,,,
2025-02-04 11:02:40.344,22.90699,39.32621,0,-1.576084,-0.3196061,,,,,,,,,
2025-02-04 11:02:40.349,22.90699,39.32621,0,-1.588156,-0.2889388,,,,,,,,,
2025-02-04 11:02:40.354,22.90699,39.32621,0,-1.597254,-0.2658246,,,,,,,,,
2025-02-04 11:02:40.361,22.90699,39.32621,0,-1.605183,-0.2456811,,,,,,,,,
2025-02-04 11:02:40.365,22.90699,39.32621,0,-1.613556,-0.2244106,,,,,,,,,
2025-02-04 11:02:40.370,22.90699,39.32621,0,-1.62068,-0.2063121,,,,,,,,,
2025-02-04 11:02:40.377,22.90699,39.32621,0,-1.627834,-0.188138,,,,,,,,,
2025-02-04 11:02:40.381,22.90699,39.32621,0,-1.637044,-0.1647406,,,,,,,,,
2025-02-04 11:02:40.386,22.90699,39.32621,0,-1.642285,-0.1514277,,,,,,,,,
2025-02-04 11:02:40.392,22.90699,39.32621,0,-1.648475,-0.1357031,,,,,,,,,
2025-02-04 11:02:40.397,22.90699,39.32621,0,-1.65615,-0.1162043,,,,,,,,,
2025-02-04 11:02:40.402,22.90699,39.32621,0,-1.662969,-0.09888127,,,,,,,,,
2025-02-04 11:02:40.406,22.90699,39.32621,0,-1.668149,-0.08572289,,,,,,,,,
2025-02-04 11:02:40.411,22.90699,39.32621,0,-1.67262,-0.07436303,,,,,,,,,
2025-02-04 11:02:40.417,22.90699,39.32621,0,-1.679095,-0.05791521,,,,,,,,,
2025-02-04 11:02:40.421,22.90699,39.32621,0,-1.684471,-0.04425789,,,,,,,,,
2025-02-04 11:02:40.427,22.90699,39.32621,0,-1.690321,-0.02939506,,,,,,,,,
2025-02-04 11:02:40.432,22.90699,39.32621,0,-1.695315,-0.01670764,,,,,,,,,
2025-02-04 11:02:40.436,22.90699,39.32621,0,-1.701005,-0.002253815,,,,,,,,,
2025-02-04 11:02:40.441,22.90699,39.32621,0,-1.70545,0.009039114,,,,,,,,,
2025-02-04 11:02:40.446,22.90699,39.32621,0,-1.709342,0.01892585,,,,,,,,,
2025-02-04 11:02:40.451,22.90699,39.32621,0,-1.714728,0.03261008,,,,,,,,,
2025-02-04 11:02:40.454,22.90699,39.32621,0,-1.719293,0.04420581,,,,,,,,,
2025-02-04 11:02:40.460,22.90699,39.32621,0,-1.722736,0.05295336,,,,,,,,,
2025-02-04 11:02:40.465,22.90699,39.32621,0,-1.726628,0.06283908,,,,,,,,,
2025-02-04 11:02:40.469,22.90699,39.32621,0,-1.731014,0.07398314,,,,,,,,,
2025-02-04 11:02:40.475,22.90699,39.32621,0,-1.735541,0.08548402,,,,,,,,,
2025-02-04 11:02:40.481,22.90699,39.32621,0,-1.739158,0.09467135,,,,,,,,,
2025-02-04 11:02:40.486,22.90699,39.32621,0,-1.743762,0.1063691,,,,,,,,,
2025-02-04 11:02:40.491,22.90699,39.32621,0,-1.748253,0.1177759,,,,,,,,,
