Time,enc_1,enc_2,Trails,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-08-01 12:04:36.221,-59.544,105.336,0,0.2929906,-1.013375,,,,,,,,,
2024-08-01 12:04:36.226,-59.508,105.3,0,0.290761,-1.015539,,,,,,,,,
2024-08-01 12:04:36.230,-59.508,105.3,0,0.290761,-1.015539,,,,,,,,,
2024-08-01 12:04:36.235,-59.508,105.3,0,0.290761,-1.015539,,,,,,,,,
2024-08-01 12:04:36.239,-59.508,105.3,0,0.290761,-1.015539,,,,,,,,,
2024-08-01 12:04:36.243,-59.508,105.3,0,0.290761,-1.015539,,,,,,,,,
2024-08-01 12:04:36.248,-59.472,105.264,0,0.2885302,-1.017702,,,,,,,,,
2024-08-01 12:04:36.251,-59.472,105.264,0,0.2885302,-1.017702,,,,,,,,,
2024-08-01 12:04:36.255,-59.436,105.264,0,0.2827903,-1.017805,,,,,,,,,
2024-08-01 12:04:36.259,-59.436,105.264,0,0.2827903,-1.017805,,,,,,,,,
2024-08-01 12:04:36.263,-59.436,105.264,0,0.2827903,-1.017805,,,,,,,,,
2024-08-01 12:04:36.268,-59.436,105.264,0,0.2827903,-1.017805,,,,,,,,,
2024-08-01 12:04:36.272,-59.436,105.264,0,0.2827903,-1.017805,,,,,,,,,
2024-08-01 12:04:36.276,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.281,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.286,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.289,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.293,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.298,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.303,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.308,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.311,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.316,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.320,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.324,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.328,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.333,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.337,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.341,-59.4,105.228,0,0.2805546,-1.019966,,,,,,,,,
2024-08-01 12:04:36.346,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.350,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.354,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.359,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.364,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.368,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.372,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.377,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.381,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.386,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.390,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.395,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.398,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.402,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.407,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.412,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.416,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.421,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
