Time,enc_1,enc_2,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-07-31 09:35:35.159,-68.39999,108.216,1.379243,-0.7828008,,,,,,,,,
2024-07-31 09:35:35.162,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.180,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.191,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.197,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.202,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.206,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.211,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.216,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.223,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.227,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.232,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.236,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.240,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.245,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.249,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.254,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.259,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.263,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.266,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.272,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.275,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.279,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.284,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.288,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.293,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.297,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.301,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.306,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.310,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.314,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.318,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.323,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.328,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
2024-07-31 09:35:35.332,-59.436,82.584,2.877301,-2.035887,,,,,,,,,
