CurrentDateTime,PlayerX,PlayerY,ColumnX,ColumnY,HitData
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
07-02-2025 09:24:27, -6.76, 1.009538, -6.9, -0.93, 0
